계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
문화재보존학과,"문화유산을 올바르게 보존하고 이를 바탕으로 문화유산의 참된 의미를 탐구하는 학과이다. 문화재에 대한 조사, 연구, 보존을 위해 고고학, 미술사, 보존과학, 박물관학 등 융·복합 인재 양성을 목표로 하는 학과이다.","* 역사, 생활양식, 언어, 예술 등 문화 전반에 대한 관심과 흥미를 지닌 학생
* 인문학, 미술사, 고고학, 과학적 지식의 종합적 연구에 흥미를 느끼는 학생
* 보존방법 연구와 관련하여 물리학, 화학, 생명과학 등에 대한 이해를 갖춘 학생","문화재학과, 문화재보존과학과, 문화재발굴보존학과, 박물관학전공 등",서울여대 등,용인대 등,"경주대, 공주대, 동양대, 한국전통문화대, 한서대 등","연구소(고고학발굴조사원, 문화재연구원, 문화재발굴조사전문가, 문화재수리 및 복원연구원 등)
정부 및 공공기관(국립문화재연구소 및 지방자치단체 문화담당자, 국/공립 박물관 및 미술관 학예직 등)
예술계(학예사(큐레이터) 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","동아시아사, 세계사, 사회·문화, 한국지리, 세계지리","화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 화학Ⅱ","제2외국어Ⅰ, 한문Ⅰ, 한문Ⅱ, 미술, 미술 감상과 비평",,,,,,,,,,,,,
문화콘텐츠학과,"인문학을 바탕으로 예술, 기술, 마케팅 분야의 융합 인재 양성을 목표로 한다. 영화, 애니메이션, 방송, 게임, 캐릭터, 문화기획 등 문화콘텐츠 산업의 다양한 분야에서 기획, 제작, 마케팅 역량을 지닌 인재 양성을 목적으로 하는 학과이다.","* 인문학과 사회 현상에 호기심과 관심이 많은 학생
* 언어 능력 및 글쓰기 능력, 창작 능력이 뛰어난 학생
* 문화콘텐츠에 대한 깊이 있는 지식과 이를 바탕으로 한 비평 등에 관심을 지닌 학생","디지털문화콘텐츠학과, 문화예술경영학과, 문화예술콘텐츠학과, 역사문화콘텐츠학과, 영상콘텐츠융합학과, 방송콘텐츠학과, 인문콘텐츠학부, 한중문화콘텐츠학과 등","건국대, 광운대, 상명대, 서울과학기술대, 이화여대 등","가톨릭대, 강남대, 대진대, 수원대, 인천가톨릭대, 인하대, 아주대, 용인대, 한신대, 한양대(에리카) 등","건국대(글로컬), 경남대, 경성대, 동명대, 동의대, 상지대, 선문대, 순천향대, 호서대, 전남대(여수), 전주대 등","문화 기획(공연/전시 기획, 엔터테인먼트 기획, 언론/광고 및 아트크리에이터 등)
전문 매니저(콘텐츠 큐레이터, 박물관/갤러리/테마파크 매니저 등)
기술 융합(IT/콘텐츠 컨설턴트, 디지털콘텐츠 및 정보자료 아카이빙 전문가 등)
작가 및 디자이너(콘텐츠 스토리텔러, 구성작가, 만화가 등)
경영 및 마케팅(글로벌 콘텐츠 기획 및 관리자, 마케터, 저작권 관리자 등)
작가 및 디자이너(콘텐츠 스토리텔러, 구성작가, 만화가 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","사회·문화, 경제, 세계사, 동아시아사, 한국지리, 세계지리 윤리와 사상, 생활과 윤리, 고전과 윤리",없음,"심리학, 철학, 논술, 음악 감상과 비평, 미술 감상과 비평, 연극",,,,,,,,,,,,,
사학과,"사료 연구와 분석을 통해 역사와 문화를 실증적으로 복원하거나 재구성하여 인식의 지평을 넓히고 현재의 문제에 대한 대안을 제시하며 미래를 조망하는 학문이다. 역사에 대한 포괄적 이해를 바탕으로, 문화유산을 발굴하고 체계화하는 능력을 종합적으로 갖춘 인재 양성을 목적으로 하는 학과이다.","* 문화나 역사와 관련된 풍부한 독서를 즐기고, 역사 과목 학습이 흥미로운 학생
* 비판적으로 생각하는 방법과 생각의 기초를 갖고 싶은 학생
* 한 마디의 말, 그림, 표시 속에 숨은 의미를 읽어보고 싶은 학생","동양사학과, 서양사학과, 역사학과, 한국사학과, 미술사학과 등","건국대, 경희대, 고려대, 덕성여대, 동국대, 명지대, 서강대, 서울대, 서울여대, 성균관대, 성신여대, 숭실대, 연세대, 이화여대, 중앙대, 한국외대, 한양대 등","경기대, 단국대, 수원대, 아주대, 인하대, 한신대 등","강릉원주대, 강원대, 경남대, 경북대, 경성대, 공주대, 군산대, 단국대(천안), 목포대, 부산대, 순천대, 영남대, 전남대, 전북대, 제주대, 창원대, 충남대, 충북대, 한남대 등","교육계(역사학 및 인접학술분야 교수, 중등교사 등)
연구소(문화재, 문화, 역사분쟁 관련 연구원, 학예연구사 등)
언론·출판·문화계(출판기획자, 집필자, 문화콘텐츠제작자 등)
정부·공공기관(문화재청·국가기론원 등의 공공기관, 박물관학예사, NGO활동가 등)","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","세계사, 동아시아사, 한국지리, 세계지리, 윤리와 사상, 경제, 사회·문화, 고전과 윤리",과학사,"제2외국어Ⅰ, 제2외국어Ⅱ, 한문Ⅰ, 한문Ⅱ, 철학, 종교학",,,,,,,,,,,,,
심리학과,"인간의 마음과 행동과정을 과학적으로 연구한다. 인간의 심리와 행동에 대한 지식을 습득하여 인간의 마음과 행동 및 사회 현상을 올바르게 이해하고, 이러한 지식을 개인과 사회의 문제 해결과 삶의 질 향상을 위해 적용하는 인재 양성을 목적으로 하는 학과이다.","* 과학적인 마인드를 가지고 인간에 대한 궁금증을 탐구해 보려는 학생
* 사람의 심리나 행동 및 관계 형성 양상에 깊은 관심을 지닌 학생
* 무언가를 알아내기 위해 단순한 직감보다는 논리적 사고를 즐기는 학생","상담심리학과, 사회심리학과, 산업심리학과, 심리상담학과, 심리치료학과 등","고려대, 덕성여대, 서강대, 서울대, 성균관대, 성신여대, 연세대, 이화여대, 중앙대 등","가톨릭대, 아주대 등","강원대, 경남대, 경북대, 경상대, 대구대, 부산대, 전남대, 전북대, 충남대, 충북대 등","교육계(대학교수, 상담교사, 교육 분야 연구원 등)
의료계(임상심리사, 놀이치료사, 미술치료사, 언어치료사, 음악치료사, 상담사 등)
경영·기획(조사원, 카피라이터, 기획자 등)
기업체(마케팅팀·홍보팀, 광고대행사, 컨설팅 업체, 심리 검사 기관, 상담소 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","사회·문화, 생활과 윤리, 윤리와 사상","생명과학Ⅰ, 생명과학Ⅱ, 생활과 과학","철학, 심리학, 음악 감상과 비평, 미술 감상과 비평",,,,,,,,,,,,,
인류학과,"인간과 문화를 종합적으로 연구하며, 인문학과 사회과학을 아우르는 성격을 지닌다. 문화인류학, 생물인류학 등의 분야를 통하여 문화 현상들을 깊이 연구하고, 문화적 감수성과 비판적 안목을 지닌 인재 양성을 목적으로 하는 학과이다.","* 열린 마음을 지니고 있어 차이와 다양성에 많은 관심을 가지고, 당연한 관념들에 대해 질문을 던지는 학생
* 현지조사를 중시하기 때문에 낯선 환경을 두려워하지 않고, 여행과 새로운 만남을 즐기는 학생
* 다른 사람들의 경험과 이야기를 통해 새로운 방식으로 세상을 인식할 준비가 된 학생","고고인류학과, 문화인류학과, 문화학과, 민속학과, 문화재보존학과 등","서울대, 덕성여대, 연세대 등",한양대(에리카) 등,"강원대, 목포대, 영남대, 전남대 등","교육계(사회교사 등)
예술·문화계(기록물관리사, 문화재보존원, 미술관장, 박물관장, 학예사(큐레이터), 문화재조사기관, 문화전시 및 기획 등)
정부·공공기관(국공립박물관, 문화재청, 국립문화재연구소 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","사회·문화, 세계사, 세계지리, 한국지리, 정치와 법, 여행 지리",생활과 과학,종교학,,,,,,,,,,,,,
철학과,"세계와 인간에 대한 근본적 물음들을 이성적으로 탐구하며, 일반적으로 논리학, 형이상학, 인식론, 윤리학으로 구성된다. 인식, 선과 악, 존재 등의 문제에 대해 의문을 던지고 이에 대한 학자들의 역사적 답변을 이해하고, 능동적으로 관련 문제에 대해 탐구하는 인재 양성을 목적으로 하는 학과이다.","* 폭넓은 독서로 사고하는 힘을 지니고, 끊임없는 지적탐구와 논리적 사고를 즐기는 학생
* 인간 본성과 존재가치, 삶의 본질, 사회에 대한 관심과 흥미를 지닌 학생
* 주어진 것들에 대해 진지한 의문을 가지고 비판적으로 받아들이는 자세를 지닌 학생","동양철학과, 철학·윤리문화학과, 철학상담학과, 철학윤리학과, 철학생명의료윤리학과 등","건국대, 경희대, 고려대, 덕성여대, 동국대, 명지대, 서강대, 서경대, 서울대, 서울시립대, 성균관대, 숭실대, 연세대, 이화여대, 중앙대, 한국외대, 한양대 등","가톨릭대, 강남대, 단국대, 한신대, 인하대 등","강릉원주대, 강원대, 경남대, 경북대, 군산대, 동국대(경주), 부산대, 전남대, 전북대, 제주대, 창원대, 충남대, 충북대 등","교육계(대학교수, 중등교사(윤리), 사설 학원 강사 등)
기업체(출판사, 영화배급사, 드라마 외주 제작사, 기업체의 사무직, 광고 회사 등)
언론사(신문사, 잡지사, 방송국 등)
연구소(인문·사회과학 관련 국가·민간 연구소, 문화 관련 국가·민간 연구소 등)
정부 및 공공기관(중앙정부 및 지방자치단체 공무원 등)","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","윤리와 사상, 생활과 윤리, 세계사, 세계지리, 동아시아사, 사회·문화, 고전과 윤리, 사회문제 탐구",과학사,"철학, 논리학, 종교학, 논술",,,,,,,,,,,,,
경영학과,"기업뿐 아니라 다양한 조직의 경영 현상을 관찰해 그곳에 존재하는 법칙을 밝혀내고, 이를 실천적 목적에 따라 적용시키는 학문으로서 다양한 이해관계자들의 의견을 수렴해 의사결정을 하는 방법을 배우고, 이러한 과정을 통해 얻은 성과를 효율적이고 공정하게 배분할 수 있는 능력을 갖춘 인재 양성을 목적으로 하는 학과이다.","* 평소에 통계나 경제 등 세상이 돌아가는 것에 대해 관심이 많은 학생
* 남 앞에서 발표하는 것을 좋아하고 다른 사람과 어울려 일하는 것을 좋아하는 학생
* 평소에 창의적이거나 기발한 생각을 자주 하는 학생","Hospitality경영학부, 경영정보학과, 관광경영학과, 국제경영학과, 글로벌경영학과, 글로벌비즈니스학과, 기술경영학과, 문화산업경영학과, 벤처중소기업학과, 산업경영학과, 파이낸스경영학과, 호텔경영학과 등","경희대, 광운대, 국민대, 덕성여대, 동국대, 동덕여대, 명지대, 삼육대, 상명대, 서경대, 서울대, 서울시립대, 서울여대, 성균관대, 성신여대, 세종대, 숙명여대, 숭실대, 연세대, 이화여대, 중앙대, 한국외대, 한양대, 한성대, 홍익대 등","가톨릭대, 가천대, 강남대, 경기대, 단국대, 대진대, 성결대, 신한대, 아주대, 안양대, 용인대, 을지대, 인천대, 인하대, 차의과학대, 평택대, 한경대, 한국산업기술대, 한국항공대, 한세대, 한신대, 협성대 등","강원대, 경북대, 경상대, 부산대, 전남대, 전북대, 제주대, 충남대, 충북대 등","마케팅(일반 제조 및 서비스업체뿐만 아니라 은행, 보험회사, 백화점 등의 기업체의 마케팅 팀 및 기획실, 광고 및 홍보 전문업체, 컨설팅 분야 등)
재무금융(은행, 보험, 증권회사 등 금융기관과 일반기업에서의 재무 또는 자금 운용 담당 등)
생산운영(프로세스컨설팅, 서비스 산업, 항공물류산업 등)
인사조직(조직 및 전략분야 컨설턴트 등)
경영정보시스템(대기업전략, 기획, 정보 담당 부서, 정보통신산업, 전자상거래산업, 디지털엔터테인먼트, 컨설팅 산업, 벤처기업 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 경제 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","경제, 정치와 법, 사회·문화, 세계지리, 세계사, 사회문제 탐구",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 실용 경제",,,,,,,,,,,,,
경제학과,"한정된 자원 내에서 어떻게 하면 최대의 효용을 얻을 수 있는지, 이 선택을 하였을 때 기회 비용은 어떻게 되는지 등에 대해 연구하고 이 과정에서 일반적인 법칙을 도출하고 미래 현상을 예측해내는 인재 양성을 목적으로 하는 학과이다.","* 평소 사회의 경제 현상에 관심이 있는 학생
* 논리적이며 인과관계 분석에 흥미가 있는 학생
* 여러 사회 현상을 모델을 통해 설명하는 데 관심이 있는 학생
* 각종 경제 지표들을 읽고 분석하는 능력을 키우고자 하는 학생","경제금융물류학부, 경제금융학과, 경제통상학부, 국제경제통상학과, 국제경제학과, 글로벌경제학과, 금융경제학과, 농업경제학과, 식품자원경제학과, 환경자원경제학과 등","경희대, 고려대, 국민대, 동국대, 동덕여대, 상명대, 서울여대, 성균관대, 성신여대, 숭실대, 연세대, 중앙대, 서울대, 서울시립대, 숙명여대, 한국외대, 한양대, 홍익대 등","가톨릭대, 가천대, 경기대, 단국대, 대진대, 아주대, 인천대, 인하대, 한신대 등","강원대, 경상대, 경북대, 부산대, 전남대, 전북대, 충남대, 충북대, 제주대 등","학계(해외유학, 연구소연구원 등)
금융계(한국은행, 금융감독원, 산업은행, 수출입은행, 예금보험공사, 시중은행, 보험사, 증권사 등 금융권 공기업이나 정부기관, 시중은행, 보험사, 자산관리회사 등)
기업계(국내외의 주요 대기업이나 중견기업, 그 외에도 각종 민간 회사 등)
정부공공기관(기획재정부, 산업통상자원부, 국세청, 외교부 등 국가고시 등을 통해 공직으로 진출)
로스쿨 진학 및 법조계, 언론계 및 컨설팅회사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 경제 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 정치와 법, 사회·문화, 사회문제 탐구",없음,"심리학, 실용 경제",,,,,,,,,,,,,
금융보험학과,"금융 및 보험에 관한 학문적 기초 지식을 체계적으로 습득하고 기업 경영에 있어서의 재무와 위험관리에 관련된 주요 기능을 이해, 분석할 수 있는 기술적 수단을 연구한다. 금융 및 보험 산업의 국제화 추세에 따른 환경 변화에 능동적으로 적응할 수 있는 실질적 능력을 배양하여 경제발전에 기여할 수 있는 전문 인재 양성을 목적으로 하는 학과이다.","* 수치에 밝고 계산 능력이 뛰어난 학생
* 여러 수치를 정확히 처리할 수 있는 꼼꼼한 성격을 가진 학생
* 재테크에 관심이 있거나 금융 상품에 대한 광고, 홍보물을 유심히 보며 호기심을 가진 학생","경제금융학과, 자산관리학과, 금융자산관리학과 등","국민대, 광운대, 중앙대, 상명대, 숭실대, 광운대, 한양대, 한국외대 등","가톨릭대, 아주대, 인하대, 한양대(에리카) 등","부산대, 상명대(천안), 전남대, 한림대, 홍익대(세종) 등","금융계(자산운용가, 리스크 매니저, 보험계리사, 보험 관리자, 보험 사무원, 보험 인수 심사원, 선물거래중개인, 손해사정인, 신용분석가, 신용추심원, 외환 딜러, 재무관리자, 증권 중개인, 투자분석가(애널리스트), 투자 인수 심사원(투자언더라이터), 부동산컨설턴트 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 경제 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 정치와 법, 사회·문화, 생활과 윤리, 사회문제 탐구",없음,"심리학, 실용 경제",,,,,,,,,,,,,
무역·유통학과,"세계화와 정보화라는 시대적 요청에 부응하여 국제 무역, 국제 금융, 국제 통상, 국제 경영, 무역 상무 및 전자 무역 등에 관한 연구를 통해 국가 경쟁력 향상과 국가 경제 발전을 위한 인재 양성을 목적으로 하는 학과이다.","* 전 세계를 무대로 다양한 사업을 펼쳐보고 싶은 생각이 있는 학생
* 적극적이고 도전적인 성격 및 개척 정신이 있는 학생
* 영어·중국어 등 기본적인 외국어 능력이 있고, 새로운 언어를 배우는 데 거부감이 없는 학생","국제통상학과, 유통경영학과, 국제무역학과, 국제물류학과 등","건국대, 국민대, 경희대, 광운대, 덕성여대, 동국대, 명지대, 숭실대, 세종대, 중앙대, 한국외대 등","경기대, 단국대, 인천대, 인하대 등","강원대, 건국대(글로컬), 경북대, 부산대, 전남대, 전북대, 충남대, 충북대 등","공무원, 국제경제기구, 국제 탄소시장 전문가, 국제통상 전문가, 농업경제학자, 산업연구원, 유통전문가 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 경제 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화, 진로 영어","경제, 정치와 법, 사회·문화, 세계지리, 세계사, 동아시아사",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 실용 경제",,,,,,,,,,,,,
세무·회계학과,급변하는 현대 기업 환경에서 중요성이 부각되고 있는 기업의 회계 보고 환경 및 세무의사결정과 관련한 전문 인재 양성을 목적으로 하는 학과이다.,"* 자기주도적이고 함께 일할 줄 아는 협업 정신이 있는 학생
* 결단력이 필요한 상황에서 스스로 잘 판단하는 학생
* 수치에 밝고 꼼꼼한 성격의 학생
* 스스로 계획하고 꾸준히 실행하는 성실한 태도를 갖춘 학생","협동조합금융학과, 회계세무전공, 세무·회계학전공, 부동산·세무경영학과, 회계세무학과, 회계세무행정학과, 회계재무학전공, 수학·금융정보학과 등","경기대, 경희대, 동덕여대, 서울시립대, 한성대 등","가천대, 인천대, 한양대(에리카) 등","대구대, 부경대, 영남대, 전주대, 호서대, 한밭대 등","관세사, 관세행정사무원, 금융 관련 사무원, 금융관리자, 무역사무원, 사회계열교수, 선물거래중개인, 세무사, 신용추심원, 재무관리자, 조세 행정 사무원, 출납창구 사무원, 투자분석가(애널리스트), 행정 및 경영 지원 관련 서비스 관리자, 회계사, 회계사무원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 경제 수학, 수학과제 탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 정치와 법, 사회문제 탐구, 생활과 윤리, 정치와 법",없음,실용 경제,,,,,,,,,,,,,
호텔·관광경영학과,"호텔 경영 전반에 관한 전문적인 지식과 현장 실무교육, 외국어 교육을 통해 관광 산업 및 호텔 산업을 성장시킬 미래의 전문가를 양성한다. 또한 미래 문화 생활 패턴을 선도하는 관광전문경영인, 한국의 매력을 창출하고 홍보하는 인재 양성을 목적으로 하는 학과이다.","* 외국어에 흥미가 많은 학생
* 사교성이 좋으며 관광 관련 학문에 관심이 많은 학생
* 두려움 없이 새로운 것에 도전하며 서비스 지향적인 생각을 갖춘 학생
* 국제적인 감각과 의사소통 능력을 갖춘 학생","호텔관광경영학과, 호텔관광학부, 관광개발학과, 호텔관광외식경영학과, Hospitality경영학부, 호텔컨벤션학전공, 관광경영학과, 문화관광학과, 외식경영학과, 호텔조리외식경영학과, 호텔외식비즈니스학과 등","경기대, 경희대, 상명대, 세종대 등",수원대 등,"가톨릭관동대, 건양대, 경동대, 극동대, 남서울대, 동국대(경주), 상지대, 세명대, 우석대, 전주대, 중부대, 제주국제대, 청주대, 한국국제대 등","정부공공기관(중앙정부 및 지방자치단체, 관광문화관련공공기관 등)
기업체(호텔업체, 여행사, 테마파크, 항공사, 이벤트기획업체, 해외현지호텔 및 기업 등)
연구소(관광문화관련국가·민간연구소, 사회과학관련국가·민간연구소 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화, 진로영어","경제, 사회·문화, 세계사, 한국지리, 세계지리, 생활과 윤리, 여행 지리",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 실용 경제",,,,,,,,,,,,,
광고홍보학과,"광고홍보 분야의 새로운 이론과 실제를 다루는 학문으로서 마케팅, 커뮤니케이션, 심리학, 사회학 등 광범위한 관련 이론을 바탕으로 광고기획, 제작, 시장 조사, 매체 기획, 브랜드 등 다양한 분야의 인재 양성을 목적으로 하는 학과이다.","* 급변하는 사회경제적 환경에서 조직의 전략적 커뮤니케이션 관리자가 될 만한 학생
* 개인과 지역사회, 국가, 인류의 복지에 기여할 만한 학생
* 산업계의 변화를 주도하고 발전에 기여하는 커뮤니케이션에 능한 학생 ","광고홍보언론학과, 광고PR브랜딩전공, 미디어광고학과, 미디어영상광고홍보학부, 미디어커뮤니케이션학과, 언론영상광고학과, 언론홍보영상학부, 언론홍보학과, 언론홍보학전공, 의료홍보미디어학과, 홍보광고학과 등","건국대, 국민대, 동국대, 서울여대, 숙명여대, 숭실대, 연세대, 중앙대, 한국외대 등","가천대, 단국대, 차의과학대, 평택대, 한세대, 한신대, 협성대, 한양대(에리카) 등","제주대, 홍익대(세종) 등","광고기획 전문가(Account Executive), 홍보기획 전문가(PR Professional), 시장분석 전문가(Market Analyst), SP기획(Sales Promotion Planner), 매체기획(Media Planner), 일반 기업의 광고관련 관리자, 일반 기업의 홍보관련 관리자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 정치와 법, 사회·문화, 동아시아사, 세계사, 한국지리, 세계지리, 여행 지리",과학사,심리학,,,,,,,,,,,,,
언론정보학과,"사람들 간의 원활한 소통을 위해 신문, 방송, 영상매체, 정보통신 등 대중 매체에 대해 연구하고 바람직한 미디어 문화와 대중 매체의 발전에 기여하는 전문 인재 양성을 목적으로 하는 학과이다.","* 인간과 사회에 대한 따뜻한 관심과 깊은 통찰력을 가진 학생
* 언론에 대한 이론과 실무를 겸비하려는 자세를 가진 학생
* 자연-사회-인간의 소통을 이끄는 자세를 가진 학생","언론학전공, 언론학과, 신문방송학과, 저널리즘전공, 미디어커뮤니케이션학과, 방송언론학전공, 방송영상학전공, 언론영상학부, 언론정보학과, 방송공연예술학과, 공연영상창작학부, 언론광고학부, 커뮤니케이션학부, 언론학과, 언론영상광고학부, 연예예술경영학과, 방송제작학전공, 영상언론융합학과 등","건국대, 경희대, 국민대, 동국대, 서강대, 서울여대, 서울대, 성균관대, 성신여대, 세종대, 이화여대, 중앙대, 한국외대 등","가천대, 단국대, 대진대, 수원대, 한양대(에리카), 인천대, 인하대 등","강원대, 경북대, 부산대, 전북대, 충남대 등","정부공공기관(한국방송광고공사, 한국방송영상산업진흥원, 한국언론재단 등)
기업체(언론사, 방송국, 신문사, 잡지사, 광고기획사, 광고대행사, 출판사 등)
연구소(한국광고연구원, 한국방송개발원, 한국언론연구원 등)","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","경제, 정치와 법, 사회·문화, 윤리와 사상, 고전과 윤리, 사회문제 탐구",없음,"심리학, 논리학",,,,,,,,,,,,,
정보미디어학과,뉴미디어에 관한 표현·기술·환경 등을 종합적으로 이해하는 것은 물론 새로운 미디어 환경에 적합한 지식과 기술을 학제적으로 가르치는 학과이다.,"* 예술적인 감수성과 컴퓨터 활용 능력을 갖춘 학생
* 디지털 콘텐츠에 관심이 많고 컴퓨터를 이용한 콘텐츠 개발에 흥미와 열정이 있는 학생","언론학전공, 언론학과, 언론정보학과, 저널리즘전공, 미디어커뮤니케이션학과, 방송언론학전공, 방송영상학전공, 언론영상학부, 언론정보학과, 방송공연예술학과, 공연영상창작학부, 언론광고학부, 커뮤니케이션학부, 언론학과, 언론영상광고학부, 연예예술경영학과, 방송제작학전공, 영상언론융합학과 등","건국대, 경희대, 국민대, 동국대, 서강대, 서울여대, 서울대, 성균관대, 성신여대, 세종대, 이화여대, 중앙대, 한국외대 등","가천대, 단국대, 대진대, 수원대, 한양대(에리카), 인천대, 인하대 등","강원대, 경북대, 부산대, 전북대, 충남대 등","멀티미디어시스템, 웹컨텐츠, 모바일컨텐츠 제작가, 디지털 신문편집, 영상프로덕션, 영화산업, CD-Rom Title제작, 애니메이션 제작, 방송사PD, 정보제공 서비스업체, 정보통신, 게임기획, 게임그래픽디자이너, 게임시나리오, 게임프로그래밍 제작자, 캐릭터디자인, 광고디자인, 게임그래픽, 광고업체, 출판편집디자인, 모바일디자인, 웹디자이너 등  ","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","윤리와 사상, 한국지리, 세계지리, 동아시아사, 경제, 정치와 법, 사회·문화, 고전과 윤리",생활과 과학,"정보, 논리학, 심리학",,,,,,,,,,,,,
